SAMPLEID,FLOWCELL,INDEX,LANE,R1,R2
HG004_NA24143_mother,BHA66FADXX,4B1,2,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4B1/4B1_CAGATC_L002_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4B1/4B1_CAGATC_L002_R2.fq.gz
HG004_NA24143_mother,BHA66FADXX,4B2,1,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4B2/4B2_CCGTCC_L001_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4B2/4B2_CCGTCC_L001_R2.fq.gz
HG004_NA24143_mother,BHA66FADXX,4B2,2,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4B2/4B2_CCGTCC_L002_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4B2/4B2_CCGTCC_L002_R2.fq.gz
HG004_NA24143_mother,BHA66FADXX,4C1,1,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4C1/4C1_AGTCAA_L001_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4C1/4C1_AGTCAA_L001_R2.fq.gz
HG004_NA24143_mother,BHA66FADXX,4C1,2,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4C1/4C1_AGTCAA_L002_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4C1/4C1_AGTCAA_L002_R2.fq.gz
HG004_NA24143_mother,BHA66FADXX,4C2,1,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4C2/4C2_AGTTCC_L001_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4C2/4C2_AGTTCC_L001_R2.fq.gz
HG004_NA24143_mother,BHA66FADXX,4C2,2,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4C2/4C2_AGTTCC_L002_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4C2/4C2_AGTTCC_L002_R2.fq.gz
HG004_NA24143_mother,BHA66FADXX,4D1,1,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4D1/4D1_ATGTCA_L001_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4D1/4D1_ATGTCA_L001_R2.fq.gz
HG004_NA24143_mother,BHA66FADXX,4D1,2,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4D1/4D1_ATGTCA_L002_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4D1/4D1_ATGTCA_L002_R2.fq.gz
HG004_NA24143_mother,BHA66FADXX,4D2,1,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4D2/4D2_GTCCGC_L001_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4D2/4D2_GTCCGC_L001_R2.fq.gz
HG004_NA24143_mother,BHA66FADXX,4D2,2,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4D2/4D2_GTCCGC_L002_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4D2/4D2_GTCCGC_L002_R2.fq.gz
HG004_NA24143_mother,BHA66FADXX,4F1,1,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4F1/4F1_ACAGTG_L001_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4F1/4F1_ACAGTG_L001_R2.fq.gz
HG004_NA24143_mother,BHA66FADXX,4F1,2,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4F1/4F1_ACAGTG_L002_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4F1/4F1_ACAGTG_L002_R2.fq.gz
HG004_NA24143_mother,BHA66FADXX,4F2,1,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4F2/4F2_GCCAAT_L001_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4F2/4F2_GCCAAT_L001_R2.fq.gz
HG004_NA24143_mother,BHA66FADXX,4F2,2,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4F2/4F2_GCCAAT_L002_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4F2/4F2_GCCAAT_L002_R2.fq.gz
HG004_NA24143_mother,BHA66FADXX,4L1,1,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4L1/4L1_CTTGTA_L001_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4L1/4L1_CTTGTA_L001_R2.fq.gz
HG004_NA24143_mother,BHA66FADXX,4L1,2,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4L1/4L1_CTTGTA_L002_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0047_BHA66FADXX/Project_RM8392/Sample_4L1/4L1_CTTGTA_L002_R2.fq.gz
